seller_id,max_price,min_price,average_product_price,most_common_cat,number_of_product_categories,average_products_per_month,num_products_stock,state,zip_code_prefix_2_digits,average_sales_per_month,average_sales_per_month_log
5b51032eddd242adc84c38acab88f23d,384.0,124.0,234.28571428571428,home_decor,2,2.0,9,MG,37,410.0,6.016157159698354
95f83f51203c626648c875dd41874c7f,89.9,9.99,47.690303030303006,home_decor,2,7.0,11,MG,37,314.75599999999986,5.751797735490977
dbc22125167c298ef99da25668e1011f,178.9,27.5,79.03070422535261,other,4,26.0,100,MG,37,1980.4164705882479,7.591062440251435
2059c39f76271d4ca3f15b5ffaccc8b8,53.9,49.9,53.536363636363625,books,1,2.0,1,PR,81,73.61249999999998,4.2988148482706885
2063dd1b9f568df1c16741ea7d3e6adb,345.62,165.05,254.36666666666665,home_decor,1,1.0,3,PR,85,84.78888888888888,4.440164506959368
2075d8cd4dd63ff12df0749a5866bb06,64.9,59.9,61.56666666666667,bed_bath_table,1,3.0,2,PR,80,184.70000000000002,5.218732887205195
381c83fdca332ea6afd896da20bf6e4a,982.0,95.0,159.9086956521739,watches_gifts,2,4.0,37,PR,80,565.8307692307692,6.33829503920355
ede2977fbaf3738583170735ca403f6c,289.9,289.9,289.9,health_beauty,1,1.0,1,PR,80,289.9,5.66953603592761
f1fd5ab1181f827ffad998c1a5de7d74,1195.0,43.0,469.73266666666666,other,2,2.0,11,PR,80,782.8877777777777,6.662989362318995
2089a6d640999f9b9141ac719b2af596,535.9,84.9,193.99581395348824,sports_leisure,3,3.0,24,SP,13,521.3637499999996,6.2564479747249715
20a7efa9721046319bdde5d60b6b5365,51.7,51.7,51.7,sports_leisure,1,1.0,1,SC,88,51.7,3.9454577815143836
20a8b0dc55da94fe74d112082427c84f,118.0,39.9,58.19999999999999,baby,2,7.0,3,SP,13,407.3999999999999,6.009795503792705
20b54c376b794ed028df09a3cd88e8dc,169.79,77.97,130.62555555555554,telephony,5,1.0,7,SP,09,117.56299999999999,4.7669743601090895
2a73cba571d90c694b7caca072ccf6ce,171.39,171.39,171.39,home_decor,1,2.0,1,SP,09,342.78,5.837088841964426
b248792ac0b60ec3f93d80af1b4fae47,75.7,38.7,50.49999999999999,sports_leisure,2,5.0,6,SP,09,227.24999999999997,5.426050733057588
d97df38225e5abadaff1e72cb72b823c,320.0,14.0,63.6551724137931,auto,1,3.0,19,SP,09,184.6,5.218191322068752
df91910b6a03bb2e3358fa6a35e32f6f,264.9,72.0,165.15000000000003,housewares,1,7.0,4,SP,09,1156.0500000000002,7.052764300892112
20cb7c2fde3e5bf10f0bbe7394e1c6a9,16.9,16.9,16.899999999999988,home_decor,1,3.0,2,PR,86,47.8833333333333,3.868767496757188
20d83f3ef0e6925fd74bfd59170babf7,89.9,29.9,53.77037037037042,fashion,1,3.0,48,SP,02,161.31111111111125,5.083334867514521
20f0aeea30bc3b8c4420be8ced4226c0,14.9,14.9,14.9,bed_bath_table,1,1.0,1,SP,13,14.9,2.7013612129514133
54a1852d1b8f10312c55e906355666ee,279.99,21.99,84.44333333333321,sports_leisure,7,11.0,47,SP,13,861.3219999999989,6.758468418253079
e8dba4d70f7f2b20e775d09cae01142d,239.99,59.99,95.10111111111112,sports_leisure,2,3.0,6,SP,13,285.30333333333334,5.6535529417590995
20fd2d2080ed85fa67fad3fcbb2c1813,85.9,85.9,85.9,garden_tools,1,1.0,1,PR,83,85.9,4.45318382899021
2138ccb85b11a4ec1e37afbd1c8eda1f,189.9,9.99,27.638595238095053,telephony,6,18.0,157,SP,08,483.67541666666347,6.181414055024176
213b25e6f54661939f11710a6fddb871,259.9,37.5,79.48384615384622,construction,2,22.0,81,SP,13,1722.1500000000012,7.451328789207931
2156f2671501a81034d7d07f217609d0,499.9,50.9,135.52272727272725,computers_accessories,4,2.0,12,SP,04,248.4583333333333,5.51527515877516
217f005bb37ff3aeef5b2ae1788e75ba,24.99,24.99,24.99,fashion,1,2.0,1,SP,06,49.98,3.9116229254068062
218d46b86c1881d022bce9c68a7d4b15,586.0,19.0,129.67995283018868,sports_leisure,3,22.0,143,SP,14,2749.215,7.919070695365258
218f991754f360af9c2daa5e0b8e990c,219.9,175.92,209.0776470588236,housewares,1,2.0,4,SP,01,394.9244444444446,5.978694466717309
6b803197e03abd5056b4313306b4f29d,49.0,25.0,33.916666666666664,food_drink,2,2.0,5,SP,01,58.142857142857146,4.062903036387282
f25e239052084705e17a982bc600ab2a,2498.0,69.0,922.5,pet_shop,4,1.0,8,SP,01,410.0,6.016157159698354
2199e7fe213c16213bf5d6a7eadc9a5d,420.07,22.62,131.5577419354839,home_decor,8,2.0,13,SP,11,177.3169565217392,5.17793884596765
c66dccfb3f109511246da627dd5a2498,570.0,109.0,282.41222222222217,watches_gifts,2,6.0,44,SP,11,1588.5687499999997,7.370588732596759
21c62b998a043ebe31161d38f84929fc,214.0,152.49,187.6225,auto,1,4.0,2,CE,60,750.49,6.6207263265343785
21d59342ba150175ca2aa4f8faddeca6,159.9,100.0,129.95,health_beauty,1,2.0,2,SP,08,259.9,5.560296941647445
21e83881401b92b49fb09a16d3852291,469.9,119.99,239.20333333333332,garden_tools,2,2.0,9,MG,38,326.18636363636364,5.787468885623243
2235cf78d3e2073a88146a9cb60f0dd0,178.99,178.99,178.99,furniture,1,1.0,1,SP,04,178.99,5.187329938358409
226b05fe067266c59c15dae208213d06,83.9,83.9,83.9,pet_shop,1,1.0,1,PR,81,83.9,4.429625613473161
228e4c1a0be164f613d41c24345f9d2c,110.0,99.9,107.94000000000001,housewares,1,2.0,3,PR,86,134.925,4.904719068504707
229c3efbfb0ea2058de4ccdfbc3d784a,487.0,37.0,106.37837837837837,computers_accessories,1,7.0,24,MG,30,684.5217391304348,6.528720403362885
22a23e5ac7061fc538cc2a019afaaf16,95.0,95.0,95.0,food_drink,1,1.0,1,MG,30,95.0,4.553876891600541
